scope,list_or_campaign,keyword,match_type,rationale
campaign C4,campaign-level,body wash,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,body lotion,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,underarm,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,underarms,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,inner thigh,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,inner thighs,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,knees,PHRASE,Keep body intent in C1-C3
campaign C4,campaign-level,elbows,PHRASE,Keep body intent in C1-C3
campaign C3 ad group Dark Underarms,ad-group-level,how to get rid of,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
campaign C3 ad group Dark Underarms,ad-group-level,how to remove,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
campaign C3 ad group Dark Underarms,ad-group-level,how to lighten,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
campaign C3 ad group Dark Underarms,ad-group-level,baking soda,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
campaign C3 ad group Dark Underarms,ad-group-level,colgate,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
campaign C3 ad group Dark Underarms,ad-group-level,coconut oil,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
campaign C3 ad group Dark Underarms,ad-group-level,aloe vera,PHRASE,Semrush dark-underarms list: home-remedy and how-to queries (KD 22-34) are informational
